Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.4,.149223431944847,.678707897663116,.1692283898592
99.401,.148966714739799,.683829784393311,.169139266014099
99.402,.148707181215286,.688991010189056,.169048771262169
99.403,.148449257016182,.694108128547668,.168958440423012
99.404,.148190721869469,.699222505092621,.168867498636246
99.405,.147929579019547,.704376041889191,.168775215744972
99.406,.147670090198517,.709485828876495,.168683081865311
99.40701,.147405803203583,.714676022529602,.168588846921921
99.408,.147145196795464,.719780683517456,.168495506048203
99.409,.146881982684135,.724924266338348,.168400719761848
99.41,.1466204226017,.730023741722107,.168306201696396
99.411,.146356001496315,.735162258148193,.168210312724113
99.412,.146093368530273,.740256488323212,.168114617466927
99.413,.145828083157539,.745389640331268,.168017536401749
99.414,.145564392209053,.750477850437164,.167920589447021
99.415,.145300224423409,.755564272403717,.167823106050491
99.416,.145033419132233,.760689437389374,.16772423684597
99.417,.144768372178078,.765770435333252,.167625561356544
99.418,.144500538706779,.770890057086945,.167525485157967
99.419,.14423443377018,.775965750217438,.167425647377968
99.42,.143965601921082,.781079828739166,.167324364185333
99.42101,.143696397542953,.786192238330841,.167222544550896
99.422,.143426641821861,.791300654411316,.167120084166527
99.423,.143158838152885,.796365141868591,.167017981410027
99.424,.14288817346096,.801467895507813,.166914343833923
99.425,.142619371414185,.806527316570282,.16681095957756
99.426,.142347872257233,.811623513698578,.166706174612045
99.427,.142078161239624,.816676795482635,.166601583361626
99.428,.141807973384857,.821727097034454,.166496455669403
99.429,.141535088419914,.826816260814667,.1663898229599
99.43,.141263976693153,.831859648227692,.166283473372459
99.431,.140990316867828,.836943566799164,.166175693273544
99.432,.140718534588814,.84198135137558,.166068196296692
99.433,.140444025397301,.847057819366455,.165959239006042
99.434,.140171408653259,.852088570594788,.165850594639778
99.43501,.139894157648087,.857200145721436,.165739580988884
99.436,.139618709683418,.862268328666687,.165628865361214
99.437,.139342948794365,.867333769798279,.165517568588257
99.438,.139068976044655,.872352123260498,.165406569838524
99.439,.138792380690575,.877410471439362,.165294095873833
99.44,.138517871499062,.882423758506775,.165181934833527
99.441,.138243123888969,.887435674667358,.165069177746773
99.442,.137965679168701,.892483294010162,.164954945445061
99.443,.137690320611,.897486329078674,.164841070771217
99.444,.137412384152412,.902530014514923,.164725691080093
99.445,.137136682868004,.90752637386322,.164610654115677
99.446,.136858269572258,.912562608718872,.164494082331657
99.447,.136582121253014,.917553842067719,.16437791287899
99.448,.136301174759865,.922621726989746,.164259299635887
99.44901,.136022388935089,.927648901939392,.164140999317169
99.45,.135743528604507,.932671070098877,.164022132754326
99.451,.13546696305275,.937649250030518,.163903683423996
99.452,.135187909007072,.942665338516235,.16378365457058
99.453,.134911119937897,.947635412216187,.163664057850838
99.454,.134634345769882,.952603697776794,.163543939590454
99.455,.13435323536396,.957648456096649,.163421228528023
99.456,.134076610207558,.962612092494965,.163299947977066
99.457,.133798032999039,.967608869075775,.163177073001862
99.458,.133522033691406,.972561717033386,.163054674863815
99.459,.133243605494499,.977553963661194,.162930727005005
99.46,.132968008518219,.982500553131103,.16280722618103
99.461,.132688254117966,.987524032592774,.162681132555008
99.462,.132413193583488,.992463946342468,.162556543946266
99.46301,.132134139537811,.997479975223541,.162429258227348
99.464,.131860285997391,1.00241327285767,.162303566932678
99.465,.131587103009224,1.0073424577713,.162177294492722
99.466,.131309896707535,1.01234841346741,.162048414349556
99.467,.131038174033165,1.01726806163788,.161921098828316
99.468,.130765050649643,1.0222270488739,.161792173981667
99.469,.13049504160881,1.02714014053345,.161663740873337
99.47,.130223959684372,1.03209042549133,.16153372824192
99.471,.129953965544701,1.03703808784485,.161403208971024
99.472,.129685506224632,1.04198026657104,.161272123456001
99.473,.129420816898346,1.0468772649765,.161141604185104
99.474,.129153072834015,1.05185258388519,.161008477210999
99.475,.128891676664352,1.05674302577972,.160876885056496
99.476,.128630056977272,1.06166911125183,.160743772983551
99.47701,.128370597958565,1.06659066677094,.160610154271126
99.478,.128113642334938,1.07150840759277,.16047602891922
99.479,.127859175205231,1.07642340660095,.160341411828995
99.48,.127609923481941,1.08129072189331,.160207405686378
99.481,.127359300851822,1.08623707294464,.160070717334747
99.482,.127116993069649,1.09109795093536,.159935802221298
99.483,.126873895525932,1.09603369235992,.159798175096512
99.484,.126639828085899,1.10088670253754,.159662380814552
99.485,.12640792131424,1.10577309131622,.159525007009506
99.486,.126181304454803,1.11065793037415,.159387141466141
99.487,.12596021592617,1.11553347110748,.15924896299839
99.488,.125745296478271,1.12040996551514,.159110337495804
99.489,.12553696334362,1.12527596950531,.158971324563026
99.49,.125335648655891,1.13014042377472,.158831998705864
99.491,.125142306089401,1.13499879837036,.158692210912704
99.492,.124957486987114,1.13985395431519,.158552125096321
99.493,.124781675636768,1.14469981193542,.158411771059036
99.494,.124613426625729,1.14958143234253,.158269912004471
99.495,.124460615217686,1.15438055992126,.158130079507828
99.496,.124314591288567,1.15925240516663,.157987684011459
99.497,.124185793101788,1.16403901576996,.157847329974174
99.498,.124065600335598,1.16889846324921,.157704472541809
99.499,.123962409794331,1.17371261119843,.157562553882599
99.5,.123874582350254,1.17852175235748,.157420501112938
99.501,.123803488910198,1.18332552909851,.157278254628181
99.502,.123747833073139,1.18815767765045,.157134741544724
