Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
99.5,1.71E-02,-0.68242976,-2.059885999
99.501,1.71E-02,-0.682380109,-2.059125574
99.502,1.71E-02,-0.682327955,-2.058351878
99.503,1.71E-02,-0.68227842,-2.057583537
99.504,1.72E-02,-0.68222516,-2.056812868
99.505,1.72E-02,-0.682172307,-2.056033351
99.506,1.72E-02,-0.682115846,-2.055244753
99.507,1.72E-02,-0.682066602,-2.054470824
99.508,1.73E-02,-0.682012411,-2.053685253
99.509,1.73E-02,-0.681957172,-2.052903408
99.51,1.73E-02,-0.681903504,-2.052115044
99.511,0.017329317,-0.681848964,-2.051323187
99.512,1.74E-02,-0.681793957,-2.050534822
99.513,1.74E-02,-0.681739417,-2.049742267
99.514,1.74E-02,-0.681681267,-2.048938069
99.515,1.74E-02,-0.681625388,-2.048145514
99.516,1.74E-02,-0.681568694,-2.047347603
99.517,1.75E-02,-0.681510137,-2.046538517
99.518,0.017487546,-0.681454665,-2.045744564
99.519,1.75E-02,-0.681395933,-2.044932917
99.52,1.75E-02,-0.681339065,-2.044124762
99.521,1.76E-02,-0.681275735,-2.043299144
99.522,1.76E-02,-0.681218458,-2.042491222
99.523,1.76E-02,-0.681159727,-2.041682601
99.524,1.76E-02,-0.681098143,-2.040858846
99.525,1.76E-02,-0.681039761,-2.040041378
99.526,1.77E-02,-0.680977013,-2.039221115
99.527,1.77E-02,-0.68091508,-2.038392238
99.528,1.77E-02,-0.680853322,-2.037561731
99.529,0.017735131,-0.68079069,-2.036737278
99.53,1.78E-02,-0.680728175,-2.035906073
99.531,1.78E-02,-0.68066502,-2.035070676
99.532,1.78E-02,-0.680598896,-2.03423528
99.533,1.78E-02,-0.680536614,-2.033398254
99.534,1.78E-02,-0.680472411,-2.032558434
99.535,1.79E-02,-0.680406811,-2.031713491
99.536,1.79E-02,-0.680340629,-2.030867385
99.537,0.017914331,-0.680272875,-2.030022675
99.538,0.017936734,-0.680207682,-2.029175637
99.539,1.80E-02,-0.680139288,-2.028318821
99.54,1.80E-02,-0.680074736,-2.027477138
99.541,1.80E-02,-0.680004479,-2.026614733
99.542,1.80E-02,-0.679935561,-2.025753958
99.543,1.80E-02,-0.67986676,-2.024902264
99.544,1.81E-02,-0.679796038,-2.024036599
99.545,1.81E-02,-0.67972776,-2.023172565
99.546,1.81E-02,-0.679657795,-2.022315748
99.547,1.81E-02,-0.679586199,-2.02144729
99.548,1.82E-02,-0.679512857,-2.020576969
99.549,0.018181998,-0.679441262,-2.019695705
99.55,0.01820429,-0.679367047,-2.018817235
99.551,1.82E-02,-0.679294346,-2.017951803
99.552,1.82E-02,-0.679219957,-2.017067978
99.553,0.018270718,-0.679146382,-2.016188344
99.554,1.83E-02,-0.679070014,-2.015308011
99.555,1.83E-02,-0.678994227,-2.014421858
99.556,1.83E-02,-0.67891751,-2.013532445
99.557,1.84E-02,-0.678841432,-2.012651647
99.558,1.84E-02,-0.678764423,-2.011758974
99.559,1.84E-02,-0.678685668,-2.010871191
99.56,1.84E-02,-0.678604119,-2.009968506
99.561,1.84E-02,-0.678526761,-2.009075368
99.562,1.85E-02,-0.678445038,-2.008176874
99.563,1.85E-02,-0.678364886,-2.007271629
99.564,1.85E-02,-0.678281998,-2.006363356
99.565,1.85E-02,-0.678200973,-2.005466493
99.566,0.018558182,-0.678115641,-2.004554262
99.567,1.86E-02,-0.678030658,-2.003641333
99.568,0.018602267,-0.677947304,-2.00273958
99.569,1.86E-02,-0.677859236,-2.001818502
99.57,0.018646277,-0.677774136,-2.000912325
99.571,0.01866827,-0.677686359,-1.999991015
99.572,1.87E-02,-0.677595264,-1.99906528
99.573,1.87E-02,-0.67750772,-1.998155145
99.574,1.87E-02,-0.677419244,-1.997233601
99.575,1.88E-02,-0.677325588,-1.996306702
99.576,1.88E-02,-0.677233213,-1.995385624
99.577,1.88E-02,-0.677136704,-1.994438702
99.578,1.88E-02,-0.677043339,-1.993510406
99.579,1.88E-02,-0.676946773,-1.992582809
99.58,1.89E-02,-0.676850614,-1.991652651
99.581,1.89E-02,-0.676750496,-1.990719931
99.582,1.89E-02,-0.676650961,-1.989780227
99.583,0.018931258,-0.676548865,-1.988836564
99.584,1.90E-02,-0.676446769,-1.987903845
99.585,0.018974932,-0.676344207,-1.98696251
99.586,1.90E-02,-0.676237338,-1.986014191
99.587,1.90E-02,-0.676128024,-1.985067502
99.588,1.90E-02,-0.676021096,-1.984123839
99.589,1.91E-02,-0.675908523,-1.983168768
99.59,1.91E-02,-0.675795251,-1.98222138
99.591,1.91E-02,-0.675680058,-1.981260953
99.592,0.019127332,-0.675561838,-1.980308443
99.593,0.01914905,-0.675444549,-1.979353372
99.594,1.92E-02,-0.675322604,-1.978393178
99.595,1.92E-02,-0.67519967,-1.977440668
99.596,1.92E-02,-0.675073126,-1.976475352
99.597,1.92E-02,-0.674946466,-1.97551446
99.598,0.01925759,-0.674813055,-1.974551938
99.599,1.93E-02,-0.674679875,-1.973590348
99.6,1.93E-02,-0.67454396,-1.972622937
99.601,1.93E-02,-0.674405717,-1.971665537
99.602,1.93E-02,-0.674261013,-1.970691839
99.603,1.94E-02,-0.674116251,-1.969725592
99.604,1.94E-02,-0.673965376,-1.968763303
99.605,1.94E-02,-0.673810369,-1.967777498
99.606,1.94E-02,-0.673653383,-1.966812648
99.607,1.95E-02,-0.673491391,-1.965836389
99.608,1.95E-02,-0.673328352,-1.964867581
99.609,1.95E-02,-0.673154776,-1.963894581
99.61,1.95E-02,-0.672981434,-1.962923212
99.611,1.95E-02,-0.672801048,-1.961943926
99.612,1.96E-02,-0.672617578,-1.960977679
99.613,1.96E-02,-0.672425784,-1.959996764
99.614,1.96E-02,-0.672230672,-1.959020505
99.615,1.96E-02,-0.672028807,-1.958051231
99.616,1.96E-02,-0.671821239,-1.957074041
99.617,1.97E-02,-0.671605871,-1.956094988
99.618,0.019688381,-0.671384507,-1.95512455
99.619,1.97E-02,-0.671155169,-1.954139909
99.62,1.97E-02,-0.670917623,-1.953168772
99.621,1.98E-02,-0.670674082,-1.952195191
99.622,1.98E-02,-0.67042181,-1.951220678
99.623,1.98E-02,-0.670162146,-1.950254897
99.624,1.98E-02,-0.669890724,-1.949279103
99.625,0.019838085,-0.669610745,-1.948310179
99.626,1.99E-02,-0.669317553,-1.947339508
99.627,1.99E-02,-0.669019006,-1.94637524
99.628,1.99E-02,-0.668707071,-1.945409342
99.629,1.99E-02,-0.668380817,-1.944446121
99.63,1.99E-02,-0.668045424,-1.94348651
99.631,2.00E-02,-0.667695014,-1.942522707
99.632,2.00E-02,-0.6673311,-1.941564376
99.633,2.00E-02,-0.666952168,-1.940608607
99.634,0.020029666,-0.666559034,-1.939662383
99.635,2.01E-02,-0.66615059,-1.938715926
99.636,2.01E-02,-0.665722939,-1.937768422
99.637,2.01E-02,-0.665275438,-1.936829532
99.638,2.01E-02,-0.664812513,-1.935896231
99.639,2.01E-02,-0.66432904,-1.934968517
99.64,0.020156467,-0.663823565,-1.934050815
99.641,2.02E-02,-0.66329597,-1.933130203
99.642,0.020198643,-0.662742124,-1.93221285
99.643,2.02E-02,-0.662163249,-1.931311446
99.644,2.02E-02,-0.661557948,-1.930409344
99.645,2.03E-02,-0.660925289,-1.929528662
99.646,2.03E-02,-0.660259451,-1.928636106
99.647,2.03E-02,-0.659557001,-1.927754842
99.648,2.03E-02,-0.658821256,-1.926897326
99.649,2.03E-02,-0.658047909,-1.926041674
99.65,0.020366671,-0.657231489,-1.925197314
99.651,2.04E-02,-0.656372111,-1.924376818
99.652,2.04E-02,-0.655462558,-1.923561562
99.653,2.04E-02,-0.654498581,-1.922766562
99.654,2.05E-02,-0.653476629,-1.921979245
99.655,2.05E-02,-0.652395538,-1.921224408
99.656,2.05E-02,-0.651241571,-1.920488779
99.657,2.05E-02,-0.65001077,-1.919769798
99.658,2.05E-02,-0.648695102,-1.919077127
99.659,2.06E-02,-0.64728281,-1.918422058
