Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
103.214,2.90E-02,-3.74E-04,-2.783253323
103.215,0.028972752,1.08E-04,-2.782268915
103.216,2.90E-02,5.99E-04,-2.781283576
103.217,2.90E-02,1.10E-03,-2.780291252
103.21799,2.90E-02,1.61E-03,-2.779292408
103.219,0.029034324,2.13E-03,-2.778291702
103.22,2.90E-02,2.66E-03,-2.777263755
103.221,2.91E-02,3.20E-03,-2.776247682
103.222,2.91E-02,3.76E-03,-2.775204601
103.223,2.91E-02,4.33E-03,-2.774167107
103.224,2.91E-02,4.91E-03,-2.773111919
103.225,0.029125053,5.51E-03,-2.772050677
103.226,2.91E-02,6.12E-03,-2.770981984
103.227,2.92E-02,6.74E-03,-2.769895829
103.228,2.92E-02,7.38E-03,-2.768823411
103.229,2.92E-02,8.05E-03,-2.76771374
103.23,2.92E-02,8.72E-03,-2.766611753
103.231,0.02921376,9.42E-03,-2.765495563
103.232,0.029228687,1.01E-02,-2.764387522
103.233,2.92E-02,0.010874053,-2.763247117
103.234,2.93E-02,1.16E-02,-2.762114396
103.235,2.93E-02,1.24E-02,-2.760969335
103.236,2.93E-02,0.013229275,-2.759821247
103.237,0.029300969,1.41E-02,-2.758664778
103.238,2.93E-02,1.49E-02,-2.757490613
103.239,2.93E-02,1.58E-02,-2.756307833
103.24,2.93E-02,1.67E-02,-2.755122026
103.241,2.94E-02,1.77E-02,-2.753929235
103.242,2.94E-02,1.87E-02,-2.752721077
103.243,2.94E-02,0.019727117,-2.751496388
103.244,2.94E-02,2.08E-02,-2.750277985
103.245,2.94E-02,2.19E-02,-2.749042353
103.246,2.94E-02,2.31E-02,-2.747779479
103.247,2.94E-02,2.43E-02,-2.746520564
103.248,2.95E-02,2.55E-02,-2.745256759
103.249,2.95E-02,2.68E-02,-2.743981779
103.25,2.95E-02,2.82E-02,-2.742697718
103.251,2.95E-02,2.97E-02,-2.74140574
103.252,2.95E-02,0.031161806,-2.740108175
103.253,2.95E-02,3.27E-02,-2.738800133
103.254,2.95E-02,3.44E-02,-2.737456001
103.255,2.95E-02,3.62E-02,-2.736121882
103.256,2.96E-02,3.80E-02,-2.734774258
103.257,2.96E-02,4.00E-02,-2.733425237
103.258,2.96E-02,4.21E-02,-2.732028021
103.259,2.96E-02,4.43E-02,-2.730667125
103.26,2.96E-02,4.66E-02,-2.729228232
103.261,2.96E-02,4.91E-02,-2.727816347
103.262,2.96E-02,5.19E-02,-2.726380713
103.263,2.96E-02,5.48E-02,-2.724933671
103.264,2.97E-02,5.79E-02,-2.723465208
103.265,2.97E-02,6.13E-02,-2.721987432
103.266,2.97E-02,6.51E-02,-2.720477991
103.267,2.97E-02,6.92E-02,-2.718957607
103.268,2.97E-02,7.38E-02,-2.717394382
103.269,2.97E-02,7.88E-02,-2.715795999
103.27,2.97E-02,8.45E-02,-2.714170842
103.271,0.029728465,9.10E-02,-2.712492133
103.272,2.97E-02,9.84E-02,-2.71074241
103.27299,2.97E-02,0.107032465,-2.708934713
103.274,2.98E-02,0.117238509,-2.706994768
103.275,2.98E-02,0.129529071,-2.704938408
103.276,2.98E-02,0.144697988,-2.702624304
103.277,2.98E-02,0.163982171,-2.699985169
103.278,2.98E-02,0.189465194,-2.69676419
103.279,0.029799473,0.22492859,-2.692473121
103.28,2.98E-02,0.278114952,-2.68592569
103.281,2.98E-02,0.367630651,-2.673529088
103.282,2.98E-02,0.551929174,-2.640008694
103.283,2.98E-02,1.140323817,-2.442391589
103.284,2.98E-02,2.151393797,1.621148549
103.285,2.98E-02,0.608113129,2.622479107
103.286,2.98E-02,0.273647514,2.676309086
103.28699,2.98E-02,0.124616883,2.6854889
103.288,2.98E-02,3.65E-02,2.686223481
103.289,2.98E-02,-1.30E-02,2.684574341
103.29,2.98E-02,-3.97E-02,2.682530787
103.291,2.98E-02,-5.28E-02,2.680573612
103.292,2.98E-02,-5.71E-02,2.678811084
103.293,0.029795503,-5.52E-02,2.677217824
103.294,2.98E-02,-0.048911155,2.67572538
103.295,2.98E-02,-3.92E-02,2.674332587
103.296,2.98E-02,-2.68E-02,2.672942355
103.297,2.99E-02,-1.22E-02,2.671526046
103.298,2.99E-02,4.26E-03,2.670041285
103.299,2.99E-02,2.22E-02,2.668438246
103.3,2.99E-02,0.040381434,2.666708082
103.30099,3.00E-02,5.45E-02,2.664878266
103.302,3.00E-02,6.43E-02,2.663061023
103.303,3.00E-02,7.02E-02,2.661259146
103.304,3.00E-02,7.28E-02,2.659518272
103.305,3.00E-02,7.25E-02,2.657844219
103.306,3.00E-02,0.069690854,2.656222554
103.307,3.00E-02,6.46E-02,2.654660027
103.308,3.01E-02,5.74E-02,2.653146163
103.309,3.01E-02,0.048482594,2.651648596
103.31,3.01E-02,3.79E-02,2.650206676
103.311,3.01E-02,2.66E-02,2.648752416
103.312,0.030140895,0.017469139,2.647203393
103.313,3.02E-02,1.10E-02,2.645619679
103.314,3.02E-02,7.02E-03,2.643944696
103.31499,0.030196127,5.20E-03,2.642217791
103.316,3.02E-02,5.36E-03,2.640374703
103.317,3.02E-02,7.32E-03,2.638496691
103.318,3.02E-02,1.09E-02,2.636473859
103.319,3.02E-02,1.58E-02,2.634331351
103.32,3.02E-02,2.21E-02,2.632046817
103.321,3.01E-02,2.88E-02,2.629613969
103.322,3.01E-02,0.034089207,2.627218142
103.323,3.01E-02,3.76E-02,2.624952234
103.324,3.01E-02,3.95E-02,2.622799249
103.325,3.01E-02,4.01E-02,2.620816231
103.326,0.030098082,0.039541999,2.61900737
103.327,3.01E-02,3.81E-02,2.617393387
103.328,0.030172985,3.59E-02,2.615976613
103.32899,3.02E-02,3.33E-02,2.614797326
103.33,3.03E-02,0.03073796,2.613735618
103.331,3.04E-02,2.90E-02,2.612558194
103.332,0.030426325,2.81E-02,2.611117903
103.333,3.05E-02,2.77E-02,2.609386109
103.334,3.05E-02,2.75E-02,2.607372589
103.335,3.04E-02,2.73E-02,2.605037065
103.336,3.04E-02,2.67E-02,2.602399094
103.337,3.03E-02,2.55E-02,2.599557396
103.338,3.03E-02,2.42E-02,2.596866339
103.339,3.03E-02,2.32E-02,2.594456542
103.34,0.030259209,2.28E-02,2.592366887
103.341,3.03E-02,2.34E-02,2.590569668
103.342,3.03E-02,2.51E-02,2.589072334
103.34299,3.04E-02,2.78E-02,2.587728901
103.344,3.04E-02,3.01E-02,2.586159622
103.345,3.05E-02,3.12E-02,2.584255999
103.346,3.05E-02,3.08E-02,2.582061104
103.347,3.04E-02,2.85E-02,2.579557244
103.348,0.030388705,0.024706245,2.576848492
103.349,3.04E-02,2.17E-02,2.574319486
103.35,3.03E-02,2.03E-02,2.57202494
103.351,3.04E-02,0.021010321,2.569973236
103.352,3.04E-02,2.42E-02,2.568157623
103.353,3.04E-02,2.96E-02,2.566424198
