na, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
103.781,-3.06289224
103.782,-3.064055694
103.783,-3.065243596
103.784,-3.066416364
103.785,-3.067573765
103.786,-3.068724647
103.787,-3.069879487
103.788,-3.071024548
103.789,-3.072165186
103.79,-3.073291853
103.791,-3.074424341
103.792,-3.075534711
103.793,-3.076651366
103.794,-3.077760339
103.795,-3.078862093
103.796,-3.079964081
103.797,-3.081049072
103.798,-3.082144773
103.799,-3.083234187
103.8,-3.084316151
103.801,-3.085375996
103.802,-3.086446319
103.803,-3.087516408
103.804,-3.088560188
103.805,-3.089612117
103.806,-3.090661252
103.807,-3.091717605
103.808,-3.092749976
103.809,-3.093784908
103.81,-3.094828455
103.811,-3.095857799
103.812,-3.096897155
103.813,-3.09794792
103.814,-3.098982619
103.815,-3.10001988
103.816,-3.101071808
103.817,-3.102109302
103.818,-3.103156807
103.819,-3.10413423
103.82,-3.104970092
103.821,-3.105818527
103.822,-3.106663702
103.823,-3.107496537
103.824,-3.108323086
103.825,-3.10915336
103.826,-3.109988291
103.827,-3.110826015
103.828,-3.111708909
103.829,-3.112629754
103.83,-3.113568295
103.831,-3.11454758
103.832,-3.115510335
103.833,-3.11646983
103.834,-3.117423039
103.835,-3.118370427
103.836,-3.119296161
103.837,-3.120212816
103.838,-3.121121088
103.839,-3.121996298
103.84,-3.1228445
103.841,-3.123706905
103.842,-3.124521347
103.843,-3.125302959
103.844,-3.126073396
103.845,-3.126807977
103.846,-3.127524164
103.847,-3.128230805
103.848,-3.128911136
103.849,-3.129580291
103.85,-3.130235244
103.851,-3.130887868
103.852,-3.131508362
103.853,-3.132148413
103.854,-3.13277985
103.855,-3.133435501
103.856,-3.134080209
103.857,-3.134747734
103.858,-3.135416657
103.859,-3.136098385
103.86,-3.136790358
103.861,-3.137509339
103.862,-3.138206434
103.863,-3.138921922
103.864,-3.139609704
103.865,-3.140288172
103.866,-3.140946617
103.867,-3.141609486
103.868,-3.142290283
103.869,-3.143002046
103.87,-3.143760376
103.871,-3.144633491
103.872,-3.145620227
103.873,-3.14669963
103.874,-3.147433512
103.875,-3.147640731
103.876,-3.147952259
103.877,-3.148344113
103.878,-3.148797899
103.879,-3.149294993
103.88,-3.149812808
103.881,-3.150366712
103.882,-3.150907112
103.883,-3.151478712
103.884,-3.152055433
103.885,-3.152611665
103.886,-3.153179539
103.887,-3.153737634
103.888,-3.154291539
103.889,-3.154852195
103.89,-3.15543171
103.891,-3.156011924
103.892,-3.156578401
103.893,-3.15713603
103.894,-3.157710657
103.895,-3.158260137
103.896,-3.158815205
103.897,-3.159335116
103.898,-3.159849206
103.899,-3.160327673
103.9,-3.160765395
103.901,-3.161191009
103.902,-3.161574248
103.903,-3.161931178
103.904,-3.162289271
103.905,-3.162615933
103.906,-3.162968205
103.907,-3.163369838
103.908,-3.163884394
103.909,-3.164570313
103.91,-3.165583359
103.911,-3.167113755
103.912,-3.169483971
103.913,-3.173209028
103.914,-3.17896693
103.915,-3.187608207
103.916,-3.196683247
103.917,-3.205935238
103.918,-3.216603538
103.919,-3.227028297
103.92,-3.235815791
103.921,-3.242306411
103.922,-3.246330423
103.923,-3.247923683
103.924,-3.247105284
103.925,-3.243792802
103.926,-3.237801604
103.927,-3.229094436
103.928,-3.218282247
103.929,-3.207243513
103.93,-3.19841248
103.931,-3.18857166
103.932,-3.182684304
103.933,-3.180325031
103.934,-3.180572065
103.935,-3.183278954
103.936,-3.188800765
103.937,-3.196919104
103.938,-3.20304092
103.939,-3.207058879
103.94,-3.20855598
103.941,-3.207222093
103.942,-3.203843022
103.943,-3.199270461
103.944,-3.193219658
103.945,-3.189647803
