Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RY (Trimaran) [°/s²]
Line C: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [°/s²]

*Time (s),Line A (°/s²),Line B (°/s²),Line C (°/s²)
99.519,-3.07876281440258E-02,-4.97823762893677,.088703490793705
99.52,-3.14288139343262E-02,-4.95953416824341,8.90059173107147E-02
99.521,-3.20998132228851E-02,-4.94098043441772,.089309386909008
99.522,-3.28021124005318E-02,-4.92218637466431,8.96193757653236E-02
99.523,-3.35372500121593E-02,-4.9035472869873,.089930959045887
99.524,-3.43074686825275E-02,-4.88445806503296,9.02519375085831E-02
99.525,-3.51139977574348E-02,-4.8657283782959,9.05727222561836E-02
99.526,-3.59589792788029E-02,-4.84675073623657,9.09010544419289E-02
99.527,-3.68441604077816E-02,-4.8279275894165,9.12323072552681E-02
99.528,-3.77726666629314E-02,-4.80864953994751,9.15741473436356E-02
99.529,-3.87454703450203E-02,-4.78973770141602,9.19173136353493E-02
99.53,-3.97662371397018E-02,-4.7703742980957,9.22717079520226E-02
99.531,-4.08358797430992E-02,-4.75115966796875,9.26306992769241E-02
99.53201,-4.19588834047318E-02,-4.73169231414795,9.29993614554405E-02
99.533,-4.31370697915554E-02,-4.71259164810181,9.33712646365166E-02
99.534,-4.43738624453545E-02,-4.69302654266357,.093756191432476
99.535,-4.56729754805565E-02,-4.67382574081421,9.41454619169235E-02
99.536,-4.70367446541786E-02,-4.65416097640991,9.45490151643753E-02
99.537,-4.84706982970238E-02,-4.63465452194214,9.49603468179703E-02
99.538,-4.99771907925606E-02,-4.61488628387451,9.53849926590919E-02
99.539,-.051561463624239,-4.59506797790527,9.58211123943329E-02
99.54,-.053228385746479,-4.57540464401245,9.62676480412483E-02
99.541,-.054982528090477,-4.55547571182251,9.67296808958054E-02
99.542,-5.68304285407066E-02,-4.53570556640625,9.72037613391876E-02
99.543,-5.87759912014007E-02,-4.51566410064697,9.76952761411667E-02
99.544,-6.08279183506966E-02,-4.49577665328979,9.82012450695038E-02
99.545,-6.29911795258522E-02,-4.47562026977539,9.87269207835197E-02
99.54601,-6.52743130922318E-02,-4.45540523529053,9.92716029286385E-02
99.547,-6.76834434270859E-02,-4.43491220474243,9.98388528823853E-02
99.548,-7.02332630753517E-02,-4.41477966308594,.100423790514469
99.549,-7.29280635714531E-02,-4.39436864852905,.101034574210644
99.55,-7.57806748151779E-02,-4.37388849258423,.101671144366264
99.551,-7.88033232092857E-02,-4.3533353805542,.102335579693317
99.552,-8.20090174674988E-02,-4.33270931243896,.103030063211918
99.553,-8.54117497801781E-02,-4.3120059967041,.103757336735725
99.554,-8.90287309885025E-02,-4.29122400283813,.104520119726658
99.555,-9.28736329078674E-02,-4.27013683319092,.105323873460293
99.556,-9.69735383987427E-02,-4.2491717338562,.10616796463728
99.557,-.101347208023071,-4.228111743927,.107058562338352
99.558,-.106015846133232,-4.20673513412476,.108002036809921
99.559,-.111015990376472,-4.185462474823,.108999624848366
99.56001,-.116370640695095,-4.16385650634766,.110061094164848
99.561,-.12212086468935,-4.14211845397949,.11119119822979
99.562,-.128314226865768,-4.12045764923096,.112395420670509
99.563,-.134979516267776,-4.09821176528931,.11368827521801
