Structure Acceleration, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
Line B: Structure Acceleration, RAO-Based Response - Global RX (Trimaran) [°/s²]

*Time (s),Line A (mm/s²),Line B (°/s²)
98.742,-6.97768991813064,-.253232032060623
98.743,-6.98012765496969,-.253222495317459
98.744,-6.98258681222796,-.253211915493011
98.745,-6.98499847203493,-.253198385238647
98.74599,-6.9874282926321,-.253183662891388
98.74699,-6.98984926566482,-.253167182207108
98.74799,-6.99223857372999,-.253148078918457
98.749,-6.99465442448854,-.253127872943878
98.75,-6.99703302234411,-.253105133771896
98.751,-6.9994255900383,-.253080278635025
98.752,-7.00175203382969,-.253052830696106
98.753,-7.0041180588305,-.2530238032341
98.754,-7.00647197663784,-.252992510795593
98.755,-7.00879422947764,-.252958297729492
98.756,-7.01113138347864,-.25292244553566
98.757,-7.01344991102815,-.252883791923523
98.758,-7.01575959101319,-.252842575311661
98.759,-7.01805436983705,-.252799451351166
98.75999,-7.02033145353198,-.252753436565399
98.76099,-7.02259875833988,-.252704620361328
98.76199,-7.02487258240581,-.252653479576111
98.763,-7.02715897932649,-.252599656581879
98.764,-7.02941557392478,-.252543091773987
98.765,-7.03166192397475,-.252483725547791
98.766,-7.03387800604105,-.252420634031296
98.767,-7.03609781339765,-.252354890108109
98.768,-7.03830039128661,-.252286106348038
98.769,-7.04050529748201,-.252214282751083
98.77,-7.04271113499999,-.252139300107956
98.771,-7.04489648342133,-.252061307430267
98.772,-7.0470692589879,-.251979202032089
98.77299,-7.04923132434487,-.251894056797028
98.77399,-7.05139292404056,-.251805424690247
98.77499,-7.05353077501059,-.251713067293167
98.77599,-7.05567887052894,-.251617223024368
98.777,-7.05780601128936,-.251516878604889
98.778,-7.0599359460175,-.251413375139236
98.779,-7.0620458573103,-.251305133104324
98.78,-7.06413481384516,-.251192599534988
98.781,-7.06621631979942,-.251076430082321
98.782,-7.06831971183419,-.250955998897552
98.783,-7.07037560641766,-.250829964876175
98.784,-7.07243196666241,-.250700056552887
98.785,-7.07449670881033,-.250565439462662
98.786,-7.07654654979706,-.250425696372986
98.78699,-7.0785703137517,-.250280678272247
98.78799,-7.08057824522257,-.250129789113998
98.78899,-7.0825987495482,-.249974146485329
98.78999,-7.08458479493856,-.249812245368958
98.791,-7.08662299439311,-.249645471572876
98.792,-7.0886081084609,-.249472126364708
98.793,-7.09057506173849,-.249292731285095
98.794,-7.09255272522569,-.249106973409653
98.795,-7.09448475390673,-.248913675546646
98.796,-7.09642143920064,-.248713597655296
98.797,-7.0983748883009,-.24850706756115
98.798,-7.10028735920787,-.248292461037636
98.799,-7.10219983011484,-.248070389032364
98.8,-7.10412673652172,-.247840464115143
98.80099,-7.10602244362235,-.247601479291916
98.80199,-7.10789486765862,-.247354045510292
98.80299,-7.1097775362432,-.247097626328468
98.80399,-7.11163831874728,-.246831595897675
98.805,-7.11349863559008,-.246555685997009
98.806,-7.11537292227149,-.246270343661308
98.807,-7.11719691753387,-.245973572134972
98.808,-7.11901718750596,-.245665818452835
98.809,-7.12087191641331,-.245346859097481
98.81,-7.12265213951468,-.2450150847435
98.811,-7.12445843964815,-.244670927524567
98.812,-7.12625309824944,-.244313687086105
98.813,-7.12803704664111,-.243942588567734
98.814,-7.12982332333922,-.243557587265968
98.81499,-7.13157607242465,-.243156582117081
98.81599,-7.13333627209067,-.242740660905838
98.81699,-7.13509321212769,-.242307975888252
98.81799,-7.13680917397141,-.241857320070267
98.819,-7.13854422792792,-.241389021277428
98.82,-7.14024994522333,-.240901306271553
98.821,-7.14195845648646,-.240393549203873
98.822,-7.14365113526583,-.239865154027939
98.823,-7.14535173028708,-.239315077662468
98.824,-7.14700762182474,-.238740533590317
98.825,-7.14867142960429,-.238142639398575
98.826,-7.1503440849483,-.237519428133965
98.827,-7.15198367834091,-.236868694424629
98.828,-7.15362699702382,-.2361900806427
98.82899,-7.15526333078742,-.235481932759285
98.82999,-7.15687498450279,-.234741792082787
98.83099,-7.15845683589578,-.233968585729599
98.832,-7.16008152812719,-.233161106705666
98.833,-7.16166198253632,-.232316270470619
98.834,-7.16323312371969,-.231433168053627
98.835,-7.16483453288674,-.230508878827095
98.836,-7.16638052836061,-.229541525244713
98.837,-7.16791022568941,-.228528290987015
98.838,-7.1694552898407,-.227467685937881
98.839,-7.17099383473396,-.226355731487274
98.84,-7.17248907312751,-.225188985466957
98.841,-7.17400573194027,-.223966434597969
98.842,-7.17550842091441,-.222682893276215
98.84299,-7.17700738459826,-.22133532166481
98.84399,-7.17848772183061,-.219919413328171
98.84499,-7.17995734885335,-.218431502580643
98.846,-7.18140322715044,-.216866970062256
98.847,-7.18285655602813,-.215221539139748
98.848,-7.18429731205106,-.213489383459091
