engw, RAO-Based Response
Line A: Structure Acceleration, RAO-Based Response - Global Z (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²]
,
*Time (s),Line A (mm/s?
101.282,-0.803027418
101.283,-0.802822178
101.284,-0.802615541
101.285,-0.802405004
101.286,-0.802196038
101.287,-0.801984977
101.288,-0.801773218
101.289,-0.80156012
101.29,-0.801344519
101.291,-0.801126531
101.292,-0.800911686
101.293,-0.800691312
101.294,-0.800465874
101.295,-0.80024323
101.296,-0.800022855
101.297,-0.799800153
101.298,-0.799574249
101.299,-0.79934235
101.3,-0.799113535
101.301,-0.798885536
101.302,-0.798653346
101.303,-0.798424589
101.304,-0.798189722
101.305,-0.797957182
101.306,-0.79772278
101.307,-0.797489076
101.308,-0.797248271
101.309,-0.797012588
101.31,-0.796777429
101.311,-0.796543376
101.312,-0.796307286
101.313,-0.796066946
101.314,-0.795829401
101.315,-0.795591623
101.316,-0.795357162
101.317,-0.795109489
101.318,-0.794840511
101.319,-0.794563675
101.32,-0.794289226
101.321,-0.794011343
101.322,-0.793727406
101.323,-0.793450337
101.324,-0.793164596
101.325,-0.792884908
101.326,-0.792604871
101.327,-0.792319886
101.328,-0.792052713
101.329,-0.791803061
101.33,-0.791561441
101.331,-0.79132861
101.332,-0.791093567
101.333,-0.790857594
101.334,-0.790618476
101.335,-0.790337916
101.336,-0.79002796
101.337,-0.789724989
101.338,-0.789426675
101.339,-0.789133017
101.34,-0.788841862
101.341,-0.788549602
101.342,-0.788265723
101.343,-0.787986617
101.344,-0.787708035
101.345,-0.787437544
101.346,-0.787166588
101.347,-0.78690151
101.348,-0.786641787
101.349,-0.786342367
101.35,-0.786003133
101.351,-0.785663608
101.352,-0.785320764
101.353,-0.784978853
101.354,-0.784635136
101.355,-0.784288102
101.356,-0.783946423
101.357,-0.783606025
101.358,-0.783270516
101.359,-0.782939431
101.36,-0.782612769
101.361,-0.78228832
101.362,-0.781970739
101.363,-0.781655719
101.364,-0.781337905
101.365,-0.781028124
101.366,-0.780719914
101.367,-0.780416129
101.368,-0.780121889
101.369,-0.77983347
101.37,-0.779562921
101.371,-0.779318914
101.372,-0.779106398
101.373,-0.778913964
101.374,-0.778543297
101.375,-0.778118731
101.376,-0.777720939
101.377,-0.777338108
101.378,-0.776967965
101.379,-0.776610803
101.38,-0.776258938
101.381,-0.775915512
101.382,-0.775572902
101.383,-0.775235589
101.384,-0.774900138
101.385,-0.774566201
101.386,-0.77422976
101.387,-0.77390339
101.388,-0.773571839
101.389,-0.773243257
101.39,-0.772913219
101.391,-0.772584404
101.392,-0.772255822
101.393,-0.771929394
101.394,-0.771598483
101.395,-0.771263381
101.396,-0.770924846
101.397,-0.770582352
101.398,-0.77023427
101.399,-0.76987705
101.4,-0.76951267
101.401,-0.769132341
101.402,-0.768754282
101.403,-0.768363127
101.404,-0.767970225
101.405,-0.767569058
101.406,-0.767178833
101.407,-0.766803045
101.408,-0.766454614
101.409,-0.766154786
101.41,-0.765930163
101.411,-0.765838544
101.412,-0.765959208
101.413,-0.766410842
101.414,-0.767346006
101.415,-0.768857542
101.416,-0.769620412
101.417,-0.770801445
101.418,-0.772138534
101.419,-0.773337029
101.42,-0.774209213
101.421,-0.774667715
101.422,-0.774722314
101.423,-0.774371263
101.424,-0.773609732
101.425,-0.772416301
101.426,-0.770759652
101.427,-0.768680999
101.428,-0.76638686
101.429,-0.764297787
101.43,-0.762360578
101.431,-0.760265335
101.432,-0.759010436
101.433,-0.75834326
101.434,-0.758147915
101.435,-0.75846049
101.436,-0.759342161
101.437,-0.760420051
101.438,-0.76070294
101.439,-0.760741066
101.44,-0.760334544
101.441,-0.759511662
101.442,-0.758489361
101.443,-0.756990921
101.444,-0.755544577
101.445,-0.754627865
101.446,-0.754203997
101.447,-0.75416296
101.448,-0.75430586
101.449,-0.754334847
101.45,-0.754041946
,-0.754041946
,-0.818612287
