Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
101.213,-5.36E-03,-0.901550346,-3.010061337
101.214,-5.33E-03,-0.902037893,-3.008964239
101.215,-5.29E-03,-0.902513159,-3.007843858
101.216,-5.25E-03,-0.902982312,-3.006744897
101.217,-5.22E-03,-0.903440116,-3.005633596
101.21799,-5.18E-03,-0.903889071,-3.004534636
101.219,-5.14E-03,-0.904332555,-3.003412858
101.22,-5.11E-03,-0.904759392,-3.002314363
101.221,-5.07E-03,-0.90517354,-3.001212142
101.222,-5.04E-03,-0.905575929,-3.000108292
101.223,-5.00E-03,-0.90596365,-2.999015385
101.224,-4.96E-03,-0.906337111,-2.997899894
101.225,-4.93E-03,-0.906699512,-2.996805822
101.226,-4.89E-03,-0.907041656,-2.995698247
101.227,-4.86E-03,-0.90737181,-2.994604874
101.228,-4.82E-03,-0.907684735,-2.993488451
101.229,-4.78E-03,-0.907978741,-2.99239438
101.23,-4.75E-03,-0.908254704,-2.99130124
101.231,-4.71E-03,-0.908512215,-2.9902237
101.232,-4.67E-03,-0.908751448,-2.98912148
101.233,-4.64E-03,-0.908965478,-2.98803905
101.234,-4.60E-03,-0.909156865,-2.986956853
101.235,-4.57E-03,-0.909322931,-2.985883271
101.236,-4.53E-03,-0.90946455,-2.984812949
101.237,-4.49E-03,-0.909575436,-2.98375031
101.238,-4.46E-03,-0.909659488,-2.982688602
101.239,-4.42E-03,-0.909714552,-2.981632249
101.24,-4.39E-03,-0.909742841,-2.980593825
101.241,-4.35E-03,-0.909726543,-2.979545621
101.242,-4.31E-03,-0.909677125,-2.978499047
101.243,-4.28E-03,-0.909592782,-2.977472031
101.244,-4.24E-03,-0.909465132,-2.976458753
101.245,-4.21E-03,-0.909293303,-2.975461073
101.246,-4.17E-03,-0.909077819,-2.974451054
101.247,-4.13E-03,-0.908812857,-2.97347689
101.248,-4.10E-03,-0.908486021,-2.972503891
101.249,-4.06E-03,-0.908108719,-2.971550683
101.25,-4.03E-03,-0.907662965,-2.970614936
101.251,-3.99E-03,-0.907153124,-2.969703637
101.252,-3.95E-03,-0.906566624,-2.968797693
101.253,-3.92E-03,-0.905900495,-2.967919689
101.254,-3.88E-03,-0.905147695,-2.967057284
101.255,-3.85E-03,-0.904301181,-2.966218395
101.256,-3.81E-03,-0.903345936,-2.965418389
101.257,-3.78E-03,-0.902276777,-2.964651911
101.258,-3.74E-03,-0.901077117,-2.963916399
101.259,-3.70E-03,-0.899729901,-2.963225357
101.26,-3.67E-03,-0.898230413,-2.962570637
101.261,-3.63E-03,-0.896538666,-2.961971797
101.262,-3.60E-03,-0.89464226,-2.961443039
101.263,-3.56E-03,-0.892501266,-2.960957587
101.264,-3.53E-03,-0.890090596,-2.960565733
101.265,-3.49E-03,-0.887364557,-2.960270969
101.266,-3.45E-03,-0.884262088,-2.960080048
101.267,-3.42E-03,-0.880716601,-2.960013691
101.268,-3.38E-03,-0.876636652,-2.960094251
101.269,-3.35E-03,-0.871912576,-2.960338723
101.27,-3.31E-03,-0.866386283,-2.960828366
101.271,-3.28E-03,-0.859859225,-2.961598104
101.272,-3.24E-03,-0.852042052,-2.962713828
101.27299,-3.21E-03,-0.84253191,-2.964282408
101.274,-3.17E-03,-0.830737757,-2.966467058
101.275,-3.13E-03,-0.815715,-2.969468711
101.276,-3.10E-03,-0.795966072,-2.973680152
101.277,-3.06E-03,-0.768824189,-2.979654819
101.278,-3.03E-03,-0.729167718,-2.988464665
101.279,-2.99E-03,-0.665623345,-3.00212251
101.28,-2.96E-03,-0.546842639,-3.024863312
101.281,-2.92E-03,-0.24485169,-3.062990727
101.282,-2.89E-03,1.584909507,-2.631137148
101.283,-2.85E-03,1.866155071,2.43828143
101.284,-2.82E-03,1.31627731,2.772705862
101.285,-2.79E-03,1.127505093,2.85340636
101.286,-2.75E-03,1.022746786,2.891321667
101.28699,-2.72E-03,0.953521987,2.913615899
101.288,-2.69E-03,0.913386117,2.925171284
101.289,-2.65E-03,0.892328389,2.930425806
101.29,-2.62E-03,0.883266912,2.931943163
101.291,-2.58E-03,0.882307184,2.93103396
101.292,-2.55E-03,0.887125381,2.928389236
101.293,-2.51E-03,0.896254729,2.924426692
101.294,-2.47E-03,0.908721588,2.919396851
101.295,-2.44E-03,0.923848012,2.913461998
101.296,-2.40E-03,0.941153499,2.906730864
101.297,-2.36E-03,0.960279722,2.899298212
101.298,-2.33E-03,0.980954268,2.891190583
101.299,-2.29E-03,1.002965844,2.88243778
101.3,-2.25E-03,1.025041565,2.873470541
101.30099,-2.22E-03,1.042967662,2.865798073
101.302,-2.18E-03,1.056355191,2.859653905
101.303,-2.14E-03,1.065787743,2.854919527
101.304,-2.11E-03,1.071758335,2.85145035
101.305,-2.07E-03,1.074667322,2.849091543
101.306,-2.03E-03,1.07486092,2.847774886
101.307,-2.00E-03,1.072620391,2.847368363
101.308,-1.96E-03,1.068201382,2.847799333
101.309,-1.93E-03,1.061808667,2.848946257
101.31,-1.89E-03,1.053640735,2.850735327
101.311,-1.85E-03,1.043874654,2.853116021
101.312,-1.81E-03,1.032666769,2.856001491
101.313,-1.78E-03,1.020869822,2.859059954
101.314,-1.74E-03,1.011300366,2.861274872
101.31499,-1.70E-03,1.004402526,2.862508176
101.316,-1.66E-03,0.999947311,2.862844151
101.317,-1.63E-03,0.997689087,2.862387104
101.318,-1.59E-03,0.997424242,2.861198504
101.319,-1.55E-03,0.99892565,2.85939686
101.32,-1.52E-03,1.001988654,2.856998472
101.321,-1.49E-03,1.00639055,2.854074817
101.322,-1.45E-03,1.011917018,2.850697143
101.323,-1.42E-03,1.018351759,2.846934134
101.324,-1.39E-03,1.025068574,2.843021648
101.325,-1.36E-03,1.030408661,2.839596942
101.326,-1.33E-03,1.034239656,2.83675408
101.327,-1.30E-03,1.036816975,2.834411105
101.328,-1.26E-03,1.038392424,2.832473489
101.32899,-1.22E-03,1.039236668,2.830853686
101.33,-1.19E-03,1.039627008,2.82943924
101.331,-1.15E-03,1.039832714,2.828140743
101.332,-1.11E-03,1.040165313,2.826873912
101.333,-1.07E-03,1.040921779,2.825502772
101.334,-1.03E-03,1.042341697,2.823928837
101.335,-9.87E-04,1.044260454,2.82212696
101.336,-9.49E-04,1.046262332,2.819928806
101.337,-9.13E-04,1.048011589,2.817814937
101.338,-8.77E-04,1.049181446,2.816030988
101.339,-8.43E-04,1.049427781,2.814681036
101.34,-8.09E-04,1.048405073,2.813879633
101.341,-7.77E-04,1.04575383,2.81334226
101.342,-7.47E-04,1.041103504,2.813440282
101.34299,-7.17E-04,1.034595887,2.81418534
101.344,-6.85E-04,1.028138562,2.814919921
101.345,-6.52E-04,1.022498007,2.815434942
101.346,-6.19E-04,1.017911825,2.815603046
101.347,-5.84E-04,1.014635433,2.815351821
101.348,-5.48E-04,1.012960449,2.81458674
101.349,-5.11E-04,1.013214467,2.813172294
101.35,-4.74E-04,1.015817397,2.810948063
101.351,-4.36E-04,1.021292992,2.807712415
101.352,-3.98E-04,1.03035965,2.803183626
101.353,-3.59E-04,1.044029603,2.796942834
101.354,-3.21E-04,1.063796692,2.788347192
101.355,-2.82E-04,1.09065359,2.776793204
101.356,-2.45E-04,1.121945679,2.763116267
101.357,-2.08E-04,1.158584142,2.746655839
101.358,-1.72E-04,1.204734319,2.725179074
101.359,-1.37E-04,1.270000357,2.693865215
101.36,-1.02E-04,1.382542308,2.636409365
101.361,-6.65E-05,1.67494663,2.459515119
101.362,-3.13E-05,2.516028006,-1.586536877
101.363,3.06E-06,-0.605582492,-2.910661511
101.364,3.75E-05,-0.895314966,-2.833395731
101.365,7.24E-05,-0.996400602,-2.797878813
101.366,1.08E-04,-1.048502745,-2.777185757
101.367,1.43E-04,-1.080668531,-2.763257828
101.368,1.79E-04,-1.102722599,-2.752970438
101.369,2.15E-04,-1.118908054,-2.744877478
101.37,2.51E-04,-1.131371129,-2.738217125
101.371,2.88E-04,-1.141310553,-2.732535126
101.372,3.25E-04,-1.149451593,-2.727593528
101.373,3.62E-04,-1.156250131,-2.723191399
101.374,3.99E-04,-1.162031665,-2.71923095
101.375,4.36E-04,-1.16699608,-2.715591108
101.376,4.74E-04,-1.17130857,-2.712235786
101.377,5.11E-04,-1.175087295,-2.709110267
101.378,5.49E-04,-1.178417704,-2.706171013
101.379,5.86E-04,-1.181364991,-2.703399863
101.38,6.24E-04,-1.183993532,-2.70077656
101.381,6.62E-04,-1.186334179,-2.698261524
101.382,6.99E-04,-1.188443741,-2.695875475
101.383,7.37E-04,-1.190330251,-2.693563234
101.384,7.75E-04,-1.192036434,-2.691330388
101.385,8.13E-04,-1.193586038,-2.689166227
101.386,8.51E-04,-1.194989309,-2.68707308
101.387,8.88E-04,-1.196270227,-2.685031388
101.388,9.26E-04,-1.197438105,-2.683042083
101.389,9.63E-04,-1.198511454,-2.681101905
101.39,1.00E-03,-1.199492253,-2.679190366
101.391,1.04E-03,-1.200394472,-2.677312586
101.392,1.08E-03,-1.201217528,-2.675467171
101.393,1.11E-03,-1.201962586,-2.67365831
101.394,1.15E-03,-1.202631625,-2.671881346
101.395,1.19E-03,-1.203217078,-2.670136048
101.396,1.23E-03,-1.20371813,-2.668423811
101.397,1.26E-03,-1.2041179,-2.666759538
101.39799,1.30E-03,-1.204411034,-2.6651558
101.399,1.34E-03,-1.204574364,-2.663581632
101.4,1.37E-03,-1.204586355,-2.662092447
101.401,1.41E-03,-1.204424305,-2.660678001
101.402,1.45E-03,-1.204059925,-2.659354126
101.403,1.48E-03,-1.203457941,-2.658138052
101.404,1.52E-03,-1.202580635,-2.657042816
101.405,1.56E-03,-1.20138668,-2.656076802
101.406,1.59E-03,-1.199822989,-2.655285876
101.407,1.63E-03,-1.197838574,-2.654686337
101.408,1.66E-03,-1.195357298,-2.654303797
101.409,1.70E-03,-1.192303374,-2.654182725
101.41,1.73E-03,-1.188576105,-2.654353157
101.411,1.76E-03,-1.184051158,-2.654863056
101.41199,1.80E-03,-1.17858639,-2.655801596
101.413,1.83E-03,-1.17195677,-2.657206263
101.414,1.86E-03,-1.163892681,-2.659247024
101.415,1.89E-03,-1.15399505,-2.662053797
101.416,1.92E-03,-1.141679357,-2.665856155
101.417,1.95E-03,-1.126035815,-2.670992166
101.418,1.97E-03,-1.105588977,-2.678000834
101.419,2.00E-03,-1.077727298,-2.687838627
101.42,2.02E-03,-1.03735528,-2.702184487
101.421,2.05E-03,-0.973003102,-2.724524355
101.422,2.07E-03,-0.852206023,-2.763144439
101.423,2.09E-03,-0.533535029,-2.840300323
101.424,2.11E-03,1.755941659,-2.293382771
101.425,2.13E-03,1.883259974,2.188060433
101.42599,2.17E-03,1.471754164,2.481900156
101.427,2.20E-03,1.321568852,2.563419752
101.428,2.25E-03,1.239920501,2.602341352
101.429,2.29E-03,1.19109638,2.623526379
101.43,0.002326182,1.160096144,2.635837533
101.431,2.37E-03,1.139606116,2.643234795
101.432,2.40E-03,1.125930576,2.647509798
101.433,2.44E-03,1.117033302,2.649719594
101.434,2.48E-03,1.111665857,2.650402021
101.435,2.51E-03,1.109037083,2.649921458
101.436,2.55E-03,1.108610071,2.648504684
101.437,2.58E-03,1.110007404,2.64630327
101.438,2.61E-03,1.112953061,2.643443877
101.439,2.63E-03,1.117246575,2.639998915
101.43999,2.66E-03,1.122739282,2.636023099
