Structure Acceleration, RAO-Based Response,,
Line A: Structure Acceleration, RAO-Based Response - Global RZ (Trimaran) [?s²],,
Line B: Structure Acceleration, RAO-Based Response - Global Y (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
Line C: Structure Acceleration, RAO-Based Response - Global X (Trimaran - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [mm/s²],,
,,,
*Time (s),Line A (?s?,Line B (mm/s?,Line C (mm/s?
101.1,-5.57E-03,-0.485681929,-1.82587665
101.101,-5.55E-03,-0.486094388,-1.825442421
101.102,-5.52E-03,-0.486503559,-1.82499853
101.103,-5.50E-03,-0.486914709,-1.824552659
101.104,-5.48E-03,-0.48732225,-1.824101782
101.105,-5.46E-03,-0.487734011,-1.82365987
101.106,-5.44E-03,-0.488142832,-1.823206898
101.107,-5.42E-03,-0.488554128,-1.822751714
101.108,-5.39E-03,-0.488963618,-1.822298742
101.109,-5.37E-03,-0.489372236,-1.821837854
101.11,-5.35E-03,-0.489778758,-1.821375685
101.111,-5.33E-03,-0.490187551,-1.820909441
101.112,-5.31E-03,-0.490595761,-1.82044541
101.113,-5.29E-03,-0.491002109,-1.819976023
101.114,-5.27E-03,-0.491408631,-1.819510479
101.115,-5.24E-03,-0.491814921,-1.819044468
101.116,-5.22E-03,-0.492219289,-1.818569261
101.117,-5.20E-03,-0.492627034,-1.818099525
101.118,-5.18E-03,-0.493033032,-1.817622571
101.119,-5.16E-03,-0.493437343,-1.817143406
101.12,-5.14E-03,-0.493841479,-1.816661796
101.121,-5.12E-03,-0.494247826,-1.816171105
101.122,-5.09E-03,-0.494651031,-1.815686468
101.123,-5.07E-03,-0.495057146,-1.815202646
101.124,-5.05E-03,-0.495459361,-1.814706367
101.125,-5.03E-03,-0.495860528,-1.814205665
101.126,-5.01E-03,-0.496265246,-1.813717652
101.127,-4.99E-03,-0.496667402,-1.81322312
101.128,-4.97E-03,-0.497070025,-1.812722068
101.129,-4.94E-03,-0.497469504,-1.812222181
101.13,-4.92E-03,-0.497872359,-1.81172567
101.131,-4.90E-03,-0.498271955,-1.811216935
101.132,-4.88E-03,-0.498671201,-1.810713089
101.133,-4.86E-03,-0.499070797,-1.810196671
101.134,-4.84E-03,-0.499469868,-1.809684443
101.135,-4.81E-03,-0.499873597,-1.809172332
101.136,-4.79E-03,-0.500271621,-1.808656845
101.137,-4.77E-03,-0.500669994,-1.808138564
101.138,-4.75E-03,-0.501066621,-1.807613298
101.139,-4.73E-03,-0.501467264,-1.807092805
101.14,-4.71E-03,-0.501862611,-1.806567772
101.141,-4.69E-03,-0.502259179,-1.806044485
101.142,-4.66E-03,-0.502656447,-1.805518055
101.143,-4.64E-03,-0.503051153,-1.804988133
101.144,-4.62E-03,-0.503445452,-1.804453903
101.145,-4.60E-03,-0.503841846,-1.803926309
101.146,-4.58E-03,-0.504235912,-1.803387073
101.147,-4.56E-03,-0.504630618,-1.802850747
101.14799,-4.54E-03,-0.50502253,-1.802305342
101.149,-4.51E-03,-0.505417818,-1.80175784
101.15,-4.49E-03,-0.505810603,-1.801215461
101.151,-4.47E-03,-0.506204553,-1.800675294
101.152,-4.45E-03,-0.506594661,-1.800118713
101.153,-4.43E-03,-0.5069857,-1.799568068
101.154,-4.41E-03,-0.507376157,-1.799013349
101.155,-4.39E-03,-0.507765799,-1.798458747
101.156,-4.37E-03,-0.508155557,-1.797902631
101.157,-4.34E-03,-0.508543977,-1.797350007
101.158,-4.32E-03,-0.50893164,-1.796781551
101.159,-4.30E-03,-0.50932006,-1.796222059
101.16,-4.28E-03,-0.509707839,-1.79565791
101.161,-4.26E-03,-0.510094978,-1.795094577
101.16199,-4.24E-03,-0.510480895,-1.794527634
101.163,-4.22E-03,-0.510868675,-1.79395359
101.164,-4.19E-03,-0.511253835,-1.793378731
101.165,-4.17E-03,-0.511636958,-1.79279712
101.166,-4.15E-03,-0.512020255,-1.792220864
101.167,-4.13E-03,-0.512402679,-1.79164554
101.168,-4.11E-03,-0.512785744,-1.7910694
101.169,-4.09E-03,-0.513165316,-1.79047673
101.17,-4.07E-03,-0.513545179,-1.789896633
101.171,-4.04E-03,-0.513925857,-1.789312926
101.172,-4.02E-03,-0.514304265,-1.78872596
101.173,-4.00E-03,-0.514681975,-1.788134337
101.174,-3.98E-03,-0.515059219,-1.787543995
101.175,-3.96E-03,-0.515435706,-1.786954468
101.17599,-3.94E-03,-0.515808992,-1.786357723
101.177,-3.92E-03,-0.51618868,-1.785758999
101.178,-3.90E-03,-0.516562257,-1.785157365
101.179,-3.87E-03,-0.516931759,-1.784548862
101.18,-3.85E-03,-0.517303532,-1.783950371
101.181,-3.83E-03,-0.517671811,-1.783341519
101.182,-3.81E-03,-0.518039917,-1.782736974
101.183,-3.79E-03,-0.518408022,-1.782131149
101.184,-3.77E-03,-0.518772868,-1.781521947
101.185,-3.75E-03,-0.519138703,-1.780911349
101.186,-3.72E-03,-0.519502559,-1.780305058
101.187,-3.70E-03,-0.519862748,-1.779687009
101.188,-3.68E-03,-0.520223752,-1.779071521
101.189,-3.66E-03,-0.5205833,-1.778456615
101.18999,-3.64E-03,-0.520938716,-1.777829253
101.191,-3.62E-03,-0.521294889,-1.777208177
101.192,-3.60E-03,-0.521649024,-1.776580117
101.193,-3.58E-03,-0.521999493,-1.775956014
101.194,-3.55E-03,-0.522348797,-1.775326906
101.195,-3.53E-03,-0.52269554,-1.774701755
101.196,-3.51E-03,-0.523040711,-1.774073928
101.197,-3.49E-03,-0.523383438,-1.773447846
101.198,-3.47E-03,-0.523723022,-1.7728206
101.199,-3.45E-03,-0.524059986,-1.77218474
101.2,-3.43E-03,-0.524393516,-1.771550858
101.201,-3.41E-03,-0.524727162,-1.77092012
101.202,-3.38E-03,-0.525055046,-1.770285075
101.203,-3.36E-03,-0.525380776,-1.769633498
101.20399,-3.34E-03,-0.525704352,-1.768999384
101.205,-3.32E-03,-0.5260256,-1.768353977
101.206,-3.30E-03,-0.526341144,-1.767716603
101.207,-3.28E-03,-0.526653312,-1.767077949
101.208,-0.003256198,-0.526961056,-1.766435103
101.209,-3.24E-03,-0.527263328,-1.7657883
101.21,-3.21E-03,-0.527566008,-1.765151974
101.211,-3.19E-03,-0.527858967,-1.76450843
101.212,-3.17E-03,-0.528150413,-1.763870241
101.213,-3.15E-03,-0.528436271,-1.763227396
101.214,-3.13E-03,-0.528714212,-1.762572443
101.215,-3.11E-03,-0.528989534,-1.76193146
101.216,-3.09E-03,-0.529256708,-1.761285588
101.217,-3.07E-03,-0.529520214,-1.76063471
101.21799,-3.04E-03,-0.529775687,-1.759984298
101.219,-3.02E-03,-0.530028774,-1.759339008
101.22,-3.00E-03,-0.530270452,-1.758690458
101.221,-2.98E-03,-0.530505436,-1.758044818
101.222,-2.96E-03,-0.530734425,-1.757404418
101.223,-2.94E-03,-0.5309509,-1.756756217
101.224,-2.92E-03,-0.531162019,-1.756111975
101.225,-2.90E-03,-0.531362777,-1.755467616
101.226,-2.87E-03,-0.531555736,-1.754832221
101.227,-2.85E-03,-0.531735772,-1.754187862
101.228,-2.83E-03,-0.531907077,-1.753549557
101.229,-2.81E-03,-0.532066682,-1.752903918
101.23,-2.79E-03,-0.532218372,-1.752268407
101.231,-2.77E-03,-0.532353064,-1.751631033
101.232,-2.75E-03,-0.532481179,-1.750998432
101.233,-2.73E-03,-0.532589329,-1.750363386
101.234,-2.70E-03,-0.532687292,-1.749743591
101.235,-2.68E-03,-0.532767095,-1.749111107
101.236,-2.66E-03,-0.532831531,-1.748490613
101.237,-2.64E-03,-0.53287932,-1.747872564
101.238,-2.62E-03,-0.532908889,-1.747256611
101.239,-2.60E-03,-0.532919483,-1.746640308
101.24,-2.58E-03,-0.53291145,-1.746037393
101.241,-2.56E-03,-0.532881706,-1.745437854
101.242,-2.54E-03,-0.532829377,-1.744839945
101.243,-2.51E-03,-0.532752369,-1.744240522
101.244,-2.49E-03,-0.532650971,-1.743649133
101.245,-2.47E-03,-0.532522565,-1.743072411
101.246,-2.45E-03,-0.532367325,-1.742492896
101.247,-2.43E-03,-0.532178325,-1.741929096
101.248,-2.41E-03,-0.531957368,-1.74137461
101.249,-2.39E-03,-0.531698402,-1.740825595
101.25,-2.37E-03,-0.531403231,-1.740285195
101.251,-2.35E-03,-0.531063066,-1.739753527
101.252,-2.33E-03,-0.530682155,-1.739241998
